               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084504,            0.025701,                   0,          0.00045299,            0.067174,          0.00024182,           5.703e-05,            0.070995,            0.053535,                   0,            0.070349,           0.0032946,           0.0032946
                   1,            0.062056,            0.017105,                   0,             0.14133,             0.13308,            0.059634,           0.0097546,            0.052325,            0.046354,                   0,            0.040327,            0.006606,            0.006606
                   2,            0.053974,            0.013499,                   0,             0.23354,             0.46261,             0.18515,            0.047811,            0.053494,            0.063528,                   0,            0.010283,           0.0098955,           0.0098955
                   3,            0.047451,            0.012284,                   0,             0.39555,             0.52852,             0.34034,            0.092761,            0.039826,            0.055991,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.042214,            0.011522,                   0,             0.67478,              0.6285,             0.65218,             0.23687,            0.036039,            0.039254,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.038233,             0.01078,                   0,             0.76316,             0.69708,             0.75786,              0.2539,            0.033665,            0.036796,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.036253,            0.010453,                   0,             0.82375,             0.77007,               0.808,             0.31777,            0.031111,            0.034395,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.035346,            0.010192,                   0,             0.84157,             0.75158,             0.80209,             0.34348,             0.02916,            0.032966,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.034001,           0.0097415,                   0,             0.85484,             0.76133,             0.83406,             0.29642,            0.029665,            0.031264,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.03345,           0.0094457,                   0,             0.79306,             0.73511,             0.73786,             0.28166,            0.032177,            0.030085,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.033195,           0.0092222,                   0,             0.85917,             0.75158,             0.81411,             0.33603,            0.028271,            0.030566,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.032077,           0.0089438,                   0,             0.79002,             0.73764,             0.74338,             0.29254,            0.029196,            0.028939,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.031774,           0.0090321,                   0,             0.85894,             0.80608,             0.84596,             0.36586,            0.026786,             0.02993,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031135,           0.0088592,                   0,              0.8611,             0.80101,             0.85114,             0.37711,            0.027748,            0.028177,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.030467,           0.0086201,                   0,             0.82217,             0.78707,              0.8048,             0.33531,            0.027507,            0.030487,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030251,           0.0087193,                   0,              0.8668,              0.8251,             0.86406,             0.35346,            0.027813,            0.029244,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.031248,           0.0086664,                   0,             0.81278,             0.79594,             0.83303,             0.34184,             0.02864,            0.028868,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.029942,            0.008593,                   0,             0.86443,             0.81621,             0.84756,              0.3833,            0.026894,            0.028305,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.029706,           0.0082873,                   0,             0.84109,             0.80502,             0.83237,             0.35909,            0.027325,            0.027386,                   0,            0.009439,            0.009439,            0.009439
                  19,             0.02976,            0.008484,                   0,             0.88784,             0.83523,             0.88303,             0.38205,            0.027563,            0.026913,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.029753,           0.0086058,                   0,             0.89494,             0.83128,             0.87418,              0.3791,            0.026081,            0.027374,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.028647,            0.008223,                   0,             0.87404,             0.82763,             0.86582,             0.37645,             0.02629,            0.027185,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.030082,           0.0081348,                   0,             0.87797,             0.81496,             0.86158,             0.35671,            0.026411,            0.028124,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.028972,           0.0081848,                   0,             0.85412,             0.82383,             0.85131,             0.37808,            0.026471,             0.02734,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.028711,           0.0080093,                   0,             0.87318,             0.81369,             0.85591,             0.37748,             0.02604,            0.027627,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.028495,           0.0079995,                   0,             0.87624,             0.82636,             0.87584,             0.37551,            0.026193,            0.027139,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.029148,           0.0081548,                   0,             0.88696,              0.8254,             0.87829,             0.40571,            0.025855,            0.026646,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.028299,           0.0081383,                   0,             0.88917,             0.81242,              0.8758,             0.38342,            0.026093,            0.026922,                   0,            0.009142,            0.009142,            0.009142
                  28,              0.0286,           0.0081604,                   0,             0.87706,             0.83185,             0.87018,             0.39866,            0.025325,             0.02833,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.028073,           0.0079922,                   0,             0.88445,             0.83427,             0.88124,             0.39264,            0.025298,            0.026998,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.028069,           0.0081108,                   0,             0.84373,             0.83523,             0.86462,             0.38396,            0.025381,            0.027353,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.027704,           0.0081863,                   0,             0.87215,             0.83143,              0.8793,             0.37985,            0.026177,             0.02706,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.028365,           0.0078484,                   0,             0.86346,             0.81876,             0.84032,             0.36668,            0.025675,            0.027025,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.027574,           0.0080744,                   0,             0.87426,              0.8365,             0.87965,             0.36954,            0.026388,            0.026449,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.028085,            0.007895,                   0,              0.8791,             0.80608,             0.85842,             0.38087,            0.025535,            0.026572,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.027484,           0.0078061,                   0,             0.88508,             0.81496,             0.86945,             0.39807,            0.025161,            0.026491,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.027488,           0.0079229,                   0,             0.90102,             0.82383,             0.89228,             0.40209,            0.025561,            0.026376,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.027242,           0.0078704,                   0,             0.87053,             0.84284,             0.88344,             0.41322,            0.025202,            0.027577,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.028021,           0.0076942,                   0,             0.87755,             0.83569,              0.8761,             0.39726,            0.024902,            0.026769,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.027828,           0.0079022,                   0,             0.90537,             0.84879,             0.88485,             0.41421,            0.024465,            0.025955,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.02709,           0.0077041,                   0,             0.86599,             0.84284,              0.8921,             0.40534,             0.02507,            0.026095,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.027308,           0.0077345,                   0,             0.90499,             0.85044,             0.89511,             0.41061,            0.024684,            0.026154,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027351,            0.007799,                   0,             0.85143,             0.83523,             0.85238,             0.38894,              0.0258,            0.026307,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.02698,            0.007724,                   0,             0.87575,             0.84869,               0.885,             0.40993,            0.024834,            0.026017,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027305,           0.0076771,                   0,             0.90136,             0.83388,             0.88313,              0.4127,            0.024951,            0.025764,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.02679,           0.0076436,                   0,             0.87716,             0.84169,             0.87894,             0.40441,            0.024688,            0.026336,                   0,            0.008548,            0.008548,            0.008548
